           t              x              y              z             vz
     0.00000        0.00000        0.00000        0.00000        5.00000
     0.10000        0.50000        0.50000        0.40200        4.02000
     0.20000        1.00000        1.00000        0.70600        7.47858
     0.30000        0.87131        0.87131        1.35586        6.49858
     0.40000        0.74261        0.74261        1.90772        5.51858
     0.50000        0.61392        0.61392        2.36157        4.53858
     0.60000        0.48522        0.48522        2.71743        3.55858
     0.70000        0.35653        0.35653        2.97529        2.57858
     0.80000        0.22784        0.22784        3.13515        1.59858
     0.90000        0.09914        0.09914        3.19701        0.61858
     1.00000       -0.02955       -0.02955        3.16086       -0.36142
     1.10000       -0.15825       -0.15825        3.02672       -1.34142
     1.20000       -0.28694       -0.28694        2.79458       -2.32142
     1.30000       -0.41564       -0.41564        2.46444       -3.30142
     1.40000       -0.54433       -0.54433        2.03630       -4.28142
     1.50000       -0.67302       -0.67302        1.51015       -5.26142
     1.60000       -0.80172       -0.80172        0.88601       -6.24142
     1.70000       -0.93041       -0.93041        0.16387       -7.22142


         #xs             ys             zs
     0.47884        2.37482        1.24322
     0.44902        2.22109        1.24322
     0.43470        2.06514        1.24322
     0.43602        1.90855        1.24322
     0.45296        1.75287        1.24322
     0.48536        1.59966        1.24322
     0.53290        1.45044        1.24322
     0.59509        1.30672        1.24322
     0.67132        1.16993        1.24322
     0.76083        1.04143        1.24322
     0.86272        0.92251        1.24322
     0.97597        0.81435        1.24322
     1.09945        0.71804        1.24322
     1.23193        0.63454        1.24322
     1.37209        0.56469        1.24322
     1.51852        0.50917        1.24322
     1.66976        0.46855        1.24322
     1.82430        0.44323        1.24322
     1.98059        0.43347        1.24322
     2.13708        0.43935        1.24322
     2.29220        0.46084        1.24322
     2.44440        0.49770        1.24322
     2.59216        0.54957        1.24322
     2.73400        0.61593        1.24322
     2.86851        0.69613        1.24322
     2.99434        0.78935        1.24322
     3.11024        0.89466        1.24322
     3.21504        1.01102        1.24322
     3.30771        1.13727        1.24322
     3.38730        1.27213        1.24322
     3.45304        1.41426        1.24322
     3.50425        1.56225        1.24322
     3.54044        1.71461        1.24322
     3.56124        1.86983        1.24322

     3.68294        2.00000        1.08060
     3.67453        2.16801        1.08060
     3.64940        2.33435        1.08060
     3.60778        2.49734        1.08060
     3.55009        2.65537        1.08060
     3.47692        2.80685        1.08060
     3.38899        2.95026        1.08060
     3.28719        3.08418        1.08060
     3.17252        3.20727        1.08060
     3.04613        3.31829        1.08060
     2.90930        3.41615        1.08060
     2.76338        3.49985        1.08060
     2.60983        3.56857        1.08060
     2.45019        3.62161        1.08060
     2.28604        3.65845        1.08060
     2.11905        3.67873        1.08060
     1.95086        3.68222        1.08060
     1.78316        3.66891        1.08060
     1.61763        3.63893        1.08060
     1.45592        3.59257        1.08060
     1.29965        3.53029        1.08060
     1.15037        3.45273        1.08060
     1.00959        3.36065        1.08060
     0.87870        3.25498        1.08060
     0.75901        3.13677        1.08060
     0.65172        3.00719        1.08060
     0.55791        2.86756        1.08060
     0.47850        2.71926        1.08060
     0.41429        2.56377        1.08060
     0.36593        2.40264        1.08060
     0.33390        2.23750        1.08060
     0.31851        2.06998        1.08060
     0.31993        1.90176        1.08060
     0.33813        1.73452        1.08060
     0.37293        1.56994        1.08060
     0.42400        1.40965        1.08060
     0.49081        1.25526        1.08060
     0.57270        1.10832        1.08060
     0.66885        0.97028        1.08060
     0.77830        0.84253        1.08060
     0.89996        0.72635        1.08060
     1.03260        0.62289        1.08060
     1.17492        0.53319        1.08060
     1.32548        0.45815        1.08060
     1.48278        0.39851        1.08060
     1.64524        0.35487        1.08060
     1.81125        0.32768        1.08060
     1.97915        0.31719        1.08060
     2.14726        0.32351        1.08060
     2.31389        0.34659        1.08060
     2.47739        0.38619        1.08060
