           t              x              y              z             vz
     5.13110        4.84477        1.31637
     5.09353        4.90606        1.31637
     5.05003        4.96328        1.31637
     5.00103        5.01588        1.31637
     4.94702        5.06332        1.31637
     4.88855        5.10513        1.31637
     4.82620        5.14090        1.31637
     4.76059        5.17027        1.31637
     4.69237        5.19293        1.31637
     4.62223        5.20867        1.31637
     4.55087        5.21734        1.31637
     4.47900        5.21883        1.31637
     4.40734        5.21314        1.31637
     4.33661        5.20033        1.31637
     4.26751        5.18052        1.31637
     4.20073        5.15391        1.31637
     4.13695        5.12077        1.31637
     4.07679        5.08142        1.31637
     4.02086        5.03627        1.31637
     3.96971        4.98575        1.31637
     3.92387        4.93038        1.31637
     3.88378        4.87072        1.31637
     3.84985        4.80735        1.31637
     3.82241        4.74090        1.31637
     3.80175        4.67205        1.31637
     3.78806        4.60148        1.31637
     3.78148        4.52990        1.31637
     3.78209        4.45802        1.31637
     3.78987        4.38656        1.31637
     3.80474        4.31623        1.31637
     3.82656        4.24774        1.31637
     3.85511        4.18177        1.31637
     3.89010        4.11897        1.31637
     3.93118        4.05999        1.31637
     3.97795        4.00540        1.31637
     4.02994        3.95575        1.31637
     4.08662        3.91155        1.31637
     4.14743        3.87322        1.31637
     4.21177        3.84115        1.31637
     4.27899        3.81567        1.31637
     4.34841        3.79702        1.31637
     4.41935        3.78540        1.31637
     4.49109        3.78092        1.31637
     4.56292        3.78362        1.31637
     4.63413        3.79348        1.31637
     4.70399        3.81040        1.31637
     4.77182        3.83421        1.31637
     4.83693        3.86467        1.31637
     4.89867        3.90148        1.31637
     4.95643        3.94428        1.31637
     5.00963        3.99262        1.31637
     5.05774        4.04603        1.31637
     5.10027        4.10398        1.31637
     5.13681        4.16589        1.31637
     5.16699        4.23113        1.31637
     5.19050        4.29906        1.31637
     5.20711        4.36900        1.31637
     5.21665        4.44025        1.31637

     5.34696        4.50000        1.23800
     5.34273        4.58456        1.23800
     5.33008        4.66827        1.23800
     5.30914        4.75029        1.23800
     5.28011        4.82982        1.23800
     5.24328        4.90606        1.23800
     5.19903        4.97823        1.23800
     5.14779        5.04563        1.23800
     5.09009        5.10757        1.23800
     5.02648        5.16345        1.23800
     4.95762        5.21270        1.23800
     4.88418        5.25482        1.23800
     4.80690        5.28940        1.23800
     4.72656        5.31610        1.23800
     4.64396        5.33464        1.23800
     4.55991        5.34484        1.23800
     4.47527        5.34660        1.23800
     4.39087        5.33990        1.23800
     4.30757        5.32481        1.23800
     4.22619        5.30148        1.23800
     4.14754        5.27014        1.23800
     4.07241        5.23111        1.23800
     4.00156        5.18477        1.23800
     3.93569        5.13159        1.23800
     3.87545        5.07209        1.23800
     3.82146        5.00688        1.23800
     3.77425        4.93661        1.23800
     3.73428        4.86198        1.23800
     3.70197        4.78372        1.23800
     3.67763        4.70264        1.23800
     3.66151        4.61952        1.23800
     3.65377        4.53522        1.23800
     3.65448        4.45056        1.23800
     3.66364        4.36640        1.23800
     3.68116        4.28357        1.23800
     3.70686        4.20290        1.23800
     3.74048        4.12520        1.23800
     3.78169        4.05125        1.23800
     3.83008        3.98178        1.23800
     3.88516        3.91749        1.23800
     3.94639        3.85902        1.23800
     4.01314        3.80695        1.23800
     4.08477        3.76181        1.23800
     4.16054        3.72404        1.23800
     4.23970        3.69403        1.23800
     4.32146        3.67207        1.23800
     4.40501        3.65838        1.23800
     4.48951        3.65310        1.23800
     4.57411        3.65628        1.23800
     4.65797        3.66790        1.23800
     4.74025        3.68783        1.23800
     4.82013        3.71587        1.23800
     4.89682        3.75175        1.23800
     4.96953        3.79510        1.23800
     5.03756        3.84550        1.23800
     5.10022        3.90243        1.23800
     5.15688        3.96534        1.23800
     5.20697        4.03359        1.23800
     5.25000        4.10650        1.23800
     5.28554        4.18334        1.23800
     5.31323        4.26335        1.23800
     5.33279        4.34571        1.23800
     5.34403        4.42963        1.23800

     5.46633        4.50000        1.14726
     5.46150        4.59647        1.14726
     5.44706        4.69198        1.14726
     5.42317        4.78557        1.14726
     5.39005        4.87631        1.14726
     5.34803        4.96328        1.14726
     5.29754        5.04563        1.14726
     5.23909        5.12252        1.14726
     5.17325        5.19320        1.14726
     5.10068        5.25695        1.14726
     5.02211        5.31314        1.14726
     4.93832        5.36120        1.14726
     4.85016        5.40065        1.14726
     4.75849        5.43111        1.14726
     4.66424        5.45227        1.14726
     4.56836        5.46391        1.14726
     4.47178        5.46591        1.14726
     4.37549        5.45827        1.14726
     4.28045        5.44105        1.14726
     4.18760        5.41443        1.14726
     4.09787        5.37868        1.14726
     4.01215        5.33414        1.14726
     3.93132        5.28127        1.14726
     3.85616        5.22059        1.14726
     3.78744        5.15272        1.14726
     3.72583        5.07832        1.14726
     3.67197        4.99814        1.14726
     3.62637        4.91299        1.14726
     3.58951        4.82371        1.14726
     3.56174        4.73119        1.14726
     3.54334        4.63637        1.14726
     3.53451        4.54018        1.14726
     3.53532        4.44359        1.14726
     3.54577        4.34757        1.14726
     3.56576        4.25306        1.14726
     3.59508        4.16103        1.14726
     3.63344        4.07238        1.14726
     3.68046        3.98801        1.14726
     3.73567        3.90875        1.14726
     3.79851        3.83539        1.14726
     3.86837        3.76868        1.14726
     3.94453        3.70928        1.14726
     4.02625        3.65777        1.14726
     4.11270        3.61468        1.14726
     4.20302        3.58044        1.14726
     4.29630        3.55539        1.14726
     4.39162        3.53977        1.14726
